Name_of_movie,Year_of_release,Watchtime,Movie_Rating,Metascore,Votes,Grosses,Description,Director,Stars,Genres
Fantastic Mr. Fox, 2009 ,87,7.9,83,"258,854",$21.00M,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,Wes Anderson,"['George Clooney', 'Meryl Streep', 'Bill Murray', 'Jason Schwartzman']","
Animation, Adventure, Comedy            "
Almost Famous, 2000 ,122,7.9,90,"288,022",$32.53M,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Cameron Crowe,"['Billy Crudup', 'Patrick Fugit', 'Kate Hudson', 'Frances McDormand']","
Adventure, Comedy, Drama            "
Boogie Nights, 1997 ,155,7.9,86,"276,795",$26.40M,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Paul Thomas Anderson,"['Mark Wahlberg', 'Julianne Moore', 'Burt Reynolds', 'Luis Guzmán']","
Drama            "
Edge of Tomorrow, 2014 ,113,7.9,71,"716,458",$100.21M,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']","
Action, Adventure, Sci-Fi            "
Avatar, 2009 ,162,7.9,83,"1,363,411",$760.51M,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Michelle Rodriguez']","
Action, Adventure, Fantasy            "
True Romance, 1993 ,119,7.9,59,"237,455",$12.28M,"In Detroit, a pop culture nerd steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple.",Tony Scott,"['Christian Slater', 'Patricia Arquette', 'Dennis Hopper', 'Val Kilmer']","
Crime, Drama, Romance            "
Bohemian Rhapsody, 2018 ,134,7.9,49,"571,555",$216.43M,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer,"['Rami Malek', 'Lucy Boynton', 'Gwilym Lee', 'Ben Hardy']","
Biography, Drama, Music            "
Jojo Rabbit, 2019 ,108,7.9,58,"424,079",$33.37M,A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.,Taika Waititi,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson', 'Taika Waititi']","
Comedy, Drama, War            "
Star Trek, 2009 ,127,7.9,82,"615,013",$257.73M,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Simon Pegg', 'Leonard Nimoy']","
Action, Adventure, Sci-Fi            "
Zack Snyder's Justice League, 2021 ,242,7.9,54,"425,859", ,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Zack Snyder,"['Henry Cavill', 'Ben Affleck', 'Gal Gadot', 'Amy Adams']","
Action, Adventure, Fantasy            "
Thor: Ragnarok, 2017 ,130,7.9,74,"795,448",$315.06M,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']","
Action, Adventure, Comedy            "
Shrek, 2001 ,90,7.9,84,"713,794",$267.67M,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","Directors:Andrew Adamson, Vicky Jenson","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'John Lithgow']","
Animation, Adventure, Comedy            "
Children of Men, 2006 ,109,7.9,84,"519,453",$35.55M,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",Alfonso Cuarón,"['Julianne Moore', 'Clive Owen', 'Chiwetel Ejiofor', 'Michael Caine']","
Action, Drama, Sci-Fi            "
Nosferatu, 1922 ,94,7.9, ,"102,841", ,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,F.W. Murnau,"['Max Schreck', 'Alexander Granach', 'Gustav von Wangenheim', 'Greta Schröder']","
Fantasy, Horror            "
Wonder, I   2017 ,113,7.9,66,"173,922",$132.42M,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Stephen Chbosky,"['Jacob Tremblay', 'Owen Wilson', 'Izabela Vidovic', 'Julia Roberts']","
Drama, Family            "
The Perks of Being a Wallflower, 2012 ,103,7.9,67,"536,459",$17.74M,"Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past.",Stephen Chbosky,"['Logan Lerman', 'Emma Watson', 'Ezra Miller', 'Paul Rudd']","
Drama            "
District 9, 2009 ,112,7.9,81,"704,732",$115.65M,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,Neill Blomkamp,"['Sharlto Copley', 'David James', 'Jason Cope', 'Nathalie Boltt']","
Action, Sci-Fi, Thriller            "
In Bruges, 2008 ,107,7.9,67,"452,135",$7.76M,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",Martin McDonagh,"['Colin Farrell', 'Brendan Gleeson', 'Ciarán Hinds', 'Elizabeth Berrington']","
Comedy, Crime, Drama            "
Mystic River, 2003 ,138,7.9,84,"474,768",$90.14M,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,Clint Eastwood,"['Sean Penn', 'Tim Robbins', 'Kevin Bacon', 'Emmy Rossum']","
Crime, Drama, Mystery            "
X-Men: Days of Future Past, 2014 ,132,7.9,75,"733,756",$233.92M,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,Bryan Singer,"['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman', 'James McAvoy']","
Action, Adventure, Sci-Fi            "
The Blues Brothers, 1980 ,133,7.9,60,"209,200",$57.23M,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",John Landis,"['John Belushi', 'Dan Aykroyd', 'Cab Calloway', 'John Candy']","
Action, Adventure, Comedy            "
Marriage Story, 2019 ,137,7.9,94,"334,226",$2.00M,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,Noah Baumbach,"['Adam Driver', 'Scarlett Johansson', 'Julia Greer', 'Azhy Robertson']","
Drama, Romance            "
Boyhood, I   2014 ,165,7.9,100,"363,370",$25.38M,"The life of Mason, from early childhood to his arrival at college.",Richard Linklater,"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke', 'Elijah Smith']","
Drama            "
The Ten Commandments, 1956 ,220,7.9, ,"75,349",$93.74M,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",Cecil B. DeMille,"['Charlton Heston', 'Yul Brynner', 'Anne Baxter', 'Edward G. Robinson']","
Adventure, Drama, Family            "
Life of Pi, 2012 ,127,7.9,79,"654,581",$124.99M,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Ang Lee,"['Suraj Sharma', 'Irrfan Khan', 'Adil Hussain', 'Tabu']","
Adventure, Drama, Fantasy            "
Dallas Buyers Club, 2013 ,117,7.9,77,"508,961",$27.30M,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Jean-Marc Vallée,"['Matthew McConaughey', 'Jennifer Garner', 'Jared Leto', 'Steve Zahn']","
Biography, Drama            "
Brazil, 1985 ,132,7.9,84,"207,877",$9.93M,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,Terry Gilliam,"['Jonathan Pryce', 'Kim Greist', 'Robert De Niro', 'Katherine Helmond']","
Drama, Sci-Fi, Thriller            "
A Christmas Story, 1983 ,93,7.9,77,"162,013",$20.61M,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.",Bob Clark,"['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin', 'Scott Schwartz']","
Comedy, Family            "
This Is Spinal Tap, 1984 ,82,7.9,92,"144,514",$4.74M,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",Rob Reiner,"['Rob Reiner', 'Michael McKean', 'Christopher Guest', 'Kimberly Stringer']","
Comedy, Music            "
Dancer in the Dark, 2000 ,140,7.9,63,"114,627",$4.18M,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.,Lars von Trier,"['Björk', 'Catherine Deneuve', 'David Morse', 'Peter Stormare']","
Crime, Drama, Musical            "
Toy Story 2, 1999 ,92,7.9,88,"606,538",$245.85M,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","Directors:John Lasseter, Ash Brannon, Lee Unkrich","['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Kelsey Grammer']","
Animation, Adventure, Comedy            "
Spartacus, 1960 ,197,7.9,87,"140,531",$30.00M,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.","Directors:Stanley Kubrick, Anthony Mann","['Kirk Douglas', 'Laurence Olivier', 'Jean Simmons', 'Charles Laughton']","
Adventure, Biography, Drama            "
King Kong, 1933 ,100,7.9,92,"89,197",$10.00M,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City.","Directors:Merian C. Cooper, Ernest B. Schoedsack","['Fay Wray', 'Robert Armstrong', 'Bruce Cabot', 'Frank Reicher']","
Adventure, Horror, Sci-Fi            "
Bound by Honor, 1993 ,180,7.9,47,"33,253",$4.50M,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",Taylor Hackford,"['Damian Chapa', 'Jesse Borrego', 'Benjamin Bratt', 'Enrique Castillo']","
Crime, Drama            "
Carlito's Way, 1993 ,144,7.9,66,"228,063",$36.95M,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Brian De Palma,"['Al Pacino', 'Sean Penn', 'Penelope Ann Miller', 'John Leguizamo']","
Crime, Drama, Thriller            "
Arsenic and Old Lace, 1944 ,118,7.9, ,"73,752", ,A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,Frank Capra,"['Cary Grant', 'Priscilla Lane', 'Raymond Massey', 'Jack Carson']","
Comedy, Crime, Thriller            "
Ghost in the Shell, 1995 ,83,7.9,76,"152,054",$0.52M,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,Mamoru Oshii,"['Atsuko Tanaka', 'Iemasa Kayumi', 'Akio Ôtsuka', 'Kôichi Yamadera']","
Animation, Action, Crime            "
In the Heat of the Night, 1967 ,110,7.9,76,"81,399",$24.38M,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.",Norman Jewison,"['Sidney Poitier', 'Rod Steiger', 'Warren Oates', 'Lee Grant']","
Drama, Mystery, Thriller            "
The Wrestler, 2008 ,109,7.9,80,"315,965",$26.24M,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",Darren Aronofsky,"['Mickey Rourke', 'Marisa Tomei', 'Evan Rachel Wood', 'Mark Margolis']","
Drama, Sport            "
"Crouching Tiger, Hidden Dragon", 2000 ,120,7.9,94,"278,110",$128.08M,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Ang Lee,"['Chow Yun-Fat', 'Michelle Yeoh', 'Ziyi Zhang', 'Chang Chen']","
Action, Adventure, Drama            "
Short Term 12, 2013 ,96,7.9,82,"90,612",$1.01M,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Destin Daniel Cretton,"['Brie Larson', 'Frantz Turner', 'John Gallagher Jr.', 'Kaitlyn Dever']","
Drama            "
Sing Street, 2016 ,106,7.9,79,"98,936",$3.24M,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,John Carney,"['Ferdia Walsh-Peelo', 'Aidan Gillen', 'Maria Doyle Kennedy', 'Jack Reynor']","
Comedy, Drama, Music            "
Wings of Desire, 1987 ,128,7.9,79,"74,833",$3.33M,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.",Wim Wenders,"['Bruno Ganz', 'Solveig Dommartin', 'Otto Sander', 'Curt Bois']","
Drama, Fantasy, Romance            "
Doctor Zhivago, 1965 ,197,7.9,69,"80,501",$111.72M,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",David Lean,"['Omar Sharif', 'Julie Christie', 'Geraldine Chaplin', 'Rod Steiger']","
Drama, Romance, War            "
Before Midnight, 2013 ,109,7.9,94,"168,191",$8.11M,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Seamus Davey-Fitzpatrick', 'Ariane Labed']","
Drama, Romance            "
Shoplifters, 2018 ,121,7.9,93,"83,086",$3.31M,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence.",Hirokazu Koreeda,"['Lily Franky', 'Sakura Ando', 'Kirin Kiki', 'Mayu Matsuoka']","
Crime, Drama, Thriller            "
Charade, 1963 ,113,7.9,83,"82,960",$13.47M,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Stanley Donen,"['Cary Grant', 'Audrey Hepburn', 'Walter Matthau', 'James Coburn']","
Comedy, Mystery, Romance            "
A Fistful of Dollars, 1964 ,99,7.9,65,"227,302",$14.50M,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",Sergio Leone,"['Clint Eastwood', 'Gian Maria Volontè', 'Marianne Koch', 'Wolfgang Lukschy']","
Action, Drama, Western            "
The Wild Bunch, 1969 ,135,7.9,98,"88,806",$12.06M,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",Sam Peckinpah,"['William Holden', 'Ernest Borgnine', 'Robert Ryan', ""Edmond O'Brien""]","
Action, Adventure, Drama            "
A Streetcar Named Desire, 1951 ,122,7.9,97,"112,551",$8.00M,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Elia Kazan,"['Vivien Leigh', 'Marlon Brando', 'Kim Hunter', 'Karl Malden']","
Drama            "
All the President's Men, 1976 ,138,7.9,84,"122,882",$70.60M,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",Alan J. Pakula,"['Dustin Hoffman', 'Robert Redford', 'Jack Warden', 'Martin Balsam']","
Drama, History, Thriller            "
The Raid 2, 2014 ,150,7.9,71,"129,166",$2.63M,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans,"['Iko Uwais', 'Yayan Ruhian', 'Arifin Putra', 'Oka Antara']","
Action, Crime, Thriller            "
Togo, 2019 ,113,7.9,69,"53,441", ,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",Ericson Core,"['Willem Dafoe', 'Julianne Nicholson', 'Christopher Heyerdahl', 'Richard Dormer']","
Adventure, Biography, Drama            "
Being There, 1979 ,130,7.9,83,"76,075",$30.18M,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics.",Hal Ashby,"['Peter Sellers', 'Shirley MacLaine', 'Melvyn Douglas', 'Jack Warden']","
Comedy, Drama            "
Hero, 2002 ,120,7.9,85,"185,838",$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",Yimou Zhang,"['Jet Li', 'Tony Leung Chiu-wai', 'Maggie Cheung', 'Ziyi Zhang']","
Action, Adventure, Drama            "
Notorious, 1946 ,102,7.9,100,"105,210",$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,Alfred Hitchcock,"['Cary Grant', 'Ingrid Bergman', 'Claude Rains', 'Louis Calhern']","
Drama, Film-Noir, Romance            "
Patton, 1970 ,172,7.9,86,"106,335",$61.70M,The World War II phase of the career of controversial American general George S. Patton.,Franklin J. Schaffner,"['George C. Scott', 'Karl Malden', 'Stephen Young', 'Michael Strong']","
Biography, Drama, War            "
Rope, 1948 ,80,7.9,73,"150,235", ,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,Alfred Hitchcock,"['James Stewart', 'John Dall', 'Farley Granger', 'Dick Hogan']","
Crime, Drama, Mystery            "
The Manchurian Candidate, 1962 ,126,7.9,94,"78,360", ,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,John Frankenheimer,"['Frank Sinatra', 'Laurence Harvey', 'Janet Leigh', 'Angela Lansbury']","
Drama, Thriller            "
Harold and Maude, 1971 ,91,7.9,62,"80,533", ,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",Hal Ashby,"['Ruth Gordon', 'Bud Cort', 'Vivian Pickles', 'Cyril Cusack']","
Comedy, Drama, Romance            "
The Killing, 1956 ,84,7.9,91,"95,076", ,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,Stanley Kubrick,"['Sterling Hayden', 'Coleen Gray', 'Vince Edwards', 'Jay C. Flippen']","
Crime, Drama, Film-Noir            "
The Artist, I   2011 ,100,7.9,89,"246,485",$44.67M,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,Michel Hazanavicius,"['Jean Dujardin', 'Bérénice Bejo', 'John Goodman', 'James Cromwell']","
Comedy, Drama, Romance            "
Strangers on a Train, 1951 ,101,7.9,88,"138,774",$7.63M,A psychopathic man tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,Alfred Hitchcock,"['Farley Granger', 'Robert Walker', 'Ruth Roman', 'Leo G. Carroll']","
Crime, Drama, Film-Noir            "
The Lion in Winter, 1968 ,134,7.9, ,"33,261",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.",Anthony Harvey,"[""Peter O'Toole"", 'Katharine Hepburn', 'Anthony Hopkins', 'John Castle']","
Biography, Drama, History            "
Three Colors: Blue, 1993 ,94,7.9,87,"108,095",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.,Krzysztof Kieslowski,"['Juliette Binoche', 'Zbigniew Zamachowski', 'Julie Delpy', 'Benoît Régent']","
Drama, Music, Mystery            "
Harvey, 1950 ,104,7.9, ,"57,438", ,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Henry Koster,"['James Stewart', 'Wallace Ford', 'William H. Lynn', 'Victoria Horne']","
Comedy, Drama, Fantasy            "
The Big Sleep, 1946 ,114,7.9,86,"88,986",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love.",Howard Hawks,"['Humphrey Bogart', 'Lauren Bacall', 'John Ridgely', 'Martha Vickers']","
Crime, Film-Noir, Mystery            "
Laura, 1944 ,88,7.9, ,"49,911",$4.36M,A police detective falls in love with the woman whose murder he is investigating.,Otto Preminger,"['Gene Tierney', 'Dana Andrews', 'Clifton Webb', 'Vincent Price']","
Drama, Film-Noir, Mystery            "
The Leopard, 1963 ,186,7.9,100,"28,044", ,"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily.",Luchino Visconti,"['Burt Lancaster', 'Alain Delon', 'Claudia Cardinale', 'Paolo Stoppa']","
Drama, History            "
Once Were Warriors, 1994 ,102,7.9,77,"36,138",$2.20M,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Lee Tamahori,"['Rena Owen', 'Temuera Morrison', 'Mamaengaroa Kerr-Bell', 'Julian Arahanga']","
Crime, Drama            "
Talk to Her, 2002 ,112,7.9,86,"116,122",$9.36M,Two men share an odd friendship while they care for two women who are both in deep comas.,Pedro Almodóvar,"['Rosario Flores', 'Javier Cámara', 'Darío Grandinetti', 'Leonor Watling']","
Drama, Mystery, Romance            "
3-Iron, 2004 ,88,7.9,72,"57,321",$0.24M,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,Kim Ki-duk,"['Lee Seung-yun', 'Hee Jae', 'Hyuk-ho Kwon', 'Jin-mo Joo']","
Crime, Drama, Romance            "
Head-On, 2004 ,121,7.9,78,"56,654", ,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.",Fatih Akin,"['Birol Ünel', 'Sibel Kekilli', 'Güven Kiraç', 'Zarah Jane McKenzie']","
Drama, Romance            "
A Taxi Driver, 2017 ,137,7.9,69,"28,990",$1.53M,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.",Hun Jang,"['Song Kang-ho', 'Thomas Kretschmann', 'Yoo Hae-jin', 'Ryu Jun-Yeol']","
Action, Drama, History            "
My Name Is Khan, 2010 ,165,7.9,50,"113,043",$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,"['Shah Rukh Khan', 'Kajol', 'Sheetal Menon', 'Katie Amanda Keane']","
Adventure, Drama, Romance            "
Amour, 2012 ,127,7.9,95,"104,142",$6.74M,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",Michael Haneke,"['Jean-Louis Trintignant', 'Emmanuelle Riva', 'Isabelle Huppert', 'Alexandre Tharaud']","
Drama            "
The Philadelphia Story, 1940 ,112,7.9,96,"72,413", ,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",George Cukor,"['Cary Grant', 'Katharine Hepburn', 'James Stewart', 'Ruth Hussey']","
Comedy, Romance            "
Miracle on 34th Street, 1947 ,96,7.9,88,"51,646",$2.65M,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",George Seaton,"['Edmund Gwenn', ""Maureen O'Hara"", 'John Payne', 'Gene Lockhart']","
Comedy, Drama, Family            "
The Adventures of Robin Hood, 1938 ,102,7.9,97,"53,526",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.","Directors:Michael Curtiz, William Keighley","['Errol Flynn', 'Olivia de Havilland', 'Basil Rathbone', 'Claude Rains']","
Action, Adventure, Romance            "
In Cold Blood, 1967 ,134,7.9,89,"28,209", ,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.",Richard Brooks,"['Robert Blake', 'Scott Wilson', 'John Forsythe', 'Paul Stewart']","
Biography, Crime, Drama            "
The Conformist, 1970 ,113,7.9,100,"32,813",$0.54M,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Bernardo Bertolucci,"['Jean-Louis Trintignant', 'Stefania Sandrelli', 'Gastone Moschin', 'Enzo Tarascio']","
Drama            "
Cat on a Hot Tin Roof, 1958 ,108,7.9,84,"52,383",$17.57M,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,Richard Brooks,"['Elizabeth Taylor', 'Paul Newman', 'Burl Ives', 'Jack Carson']","
Drama            "
Mildred Pierce, 1945 ,111,7.9,88,"27,880", ,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,Michael Curtiz,"['Joan Crawford', 'Jack Carson', 'Zachary Scott', 'Eve Arden']","
Crime, Drama, Film-Noir            "
Amarcord, 1973 ,123,7.9, ,"45,858",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Federico Fellini,"['Magali Noël', 'Bruno Zanin', 'Pupella Maggio', 'Armando Brancia']","
Comedy, Drama            "
The Sacrifice, 1986 ,149,7.9, ,"30,241",$0.30M,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.",Andrei Tarkovsky,"['Erland Josephson', 'Susan Fleetwood', 'Allan Edwall', 'Guðrún Gísladóttir']","
Drama            "
Nine Queens, 2000 ,114,7.9,80,"55,729",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",Fabián Bielinsky,"['Ricardo Darín', 'Gastón Pauls', 'Graciela Tenenbaum', 'María Mercedes Villagra']","
Crime, Drama, Thriller            "
In a Lonely Place, 1950 ,94,7.9, ,"34,061", ,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",Nicholas Ray,"['Humphrey Bogart', 'Gloria Grahame', 'Frank Lovejoy', 'Carl Benton Reid']","
Drama, Film-Noir, Mystery            "
Cléo from 5 to 7, 1962 ,90,7.9,87,"25,808", ,"Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor.",Agnès Varda,"['Corinne Marchand', 'Antoine Bourseiller', 'Dominique Davray', 'Dorothée Blanck']","
Comedy, Drama, Music            "
Battleship Potemkin, 1925 ,66,7.9,97,"60,375",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",Sergei Eisenstein,"['Aleksandr Antonov', 'Vladimir Barskiy', 'Grigoriy Aleksandrov', 'Ivan Bobrov']","
Drama, History, Thriller            "
The Thin Man, 1934 ,91,7.9,86,"31,796", ,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",W.S. Van Dyke,"['William Powell', 'Myrna Loy', ""Maureen O'Sullivan"", 'Nat Pendleton']","
Comedy, Crime, Mystery            "
